Title,Genre,Duration (minutes),IMDb Rating,MetaScore,Certificates,Year,Poster-src,Score
Gladiator,Action,155.0,8.5,67.0,R,2000,,7.959999999999999
Mission: Impossible - Dead Reckoning Part One,Action,163.0,7.7,81.0,PG-13,2023,,7.819999999999999
Rebel Moon - Part Two: The Scargiver,Action,122.0,5.2,35.0,PG-13,2024,,4.6899999999999995
Inglourious Basterds,Adventure,153.0,8.4,69.0,R,2009,,7.949999999999999
Borderlands,Action,116.3,7.1,66.9,R,2024,,6.977
Jurassic Park,Action,127.0,8.2,68.0,PG-13,1993,,7.779999999999999
The Fifth Element,Action,126.0,7.6,52.0,PG-13,1997,,6.879999999999999
Inside Out,Animation,95.0,8.1,94.0,PG,2015,,8.489999999999998
Descendants: The Rise of Red,Action,116.3,7.1,66.9,TV-G,2024,,6.977
Wish,Animation,95.0,5.6,47.0,PG,2023,,5.329999999999999
The Hunger Games,Action,142.0,7.2,68.0,PG-13,2012,,7.08
Rebel Moon - Part One: A Child of Fire,Action,133.0,5.6,31.0,PG-13,2023,,4.85
Harry Potter and the Sorcerer's Stone,Adventure,152.0,7.6,65.0,PG,2001,,7.27
Wonka,Adventure,116.0,7.0,66.0,PG,2023,,6.879999999999999
Inception,Action,148.0,8.8,74.0,PG-13,2010,,8.38
The Lord of the Rings: The Fellowship of the Ring,Action,178.0,8.9,92.0,PG-13,2001,,8.989999999999998
Twister,Action,113.0,6.5,68.0,PG-13,1996,,6.59
Damsel,Action,110.0,6.1,46.0,PG-13,2024,,5.6499999999999995
Dune,Action,137.0,6.3,41.0,PG-13,1984,,5.639999999999999
Arthur the King,Adventure,107.0,7.0,54.0,PG-13,2024,,6.52
Kung Fu Panda 4,Animation,94.0,6.3,54.0,PG,2024,,6.029999999999999
Mad Max Beyond Thunderdome,Action,107.0,6.2,71.0,PG-13,1985,,6.47
Manjummel Boys,Adventure,116.3,8.4,66.9,R,2024,,7.8870000000000005
Golden Kamuy,Action,116.3,6.4,66.9,R,2024,,6.487
Interstellar,Adventure,169.0,8.7,74.0,PG-13,2014,,8.309999999999999
Planet of the Apes,Adventure,112.0,8.0,79.0,G,1968,,7.97
Barbie,Adventure,114.0,6.8,80.0,PG-13,2023,,7.16
Twisters,Action,116.3,7.1,66.9,PG-13,2024,,6.977
The Hunger Games: The Ballad of Songbirds & Snakes,Action,157.0,6.7,54.0,PG-13,2023,,6.31
Inside Out 2,Animation,100.0,7.1,66.9,PG,2024,,6.977
Bad Boys: Ride or Die,Action,116.3,7.1,66.9,R,2024,,6.977
Mad Max 2: The Road Warrior,Action,96.0,7.6,77.0,R,1981,,7.629999999999999
Godzilla Minus One,Action,124.0,7.9,81.0,PG-13,2023,,7.96
Love Lies Bleeding,Action,104.0,6.7,77.0,R,2024,,7.0
Dawn of the Planet of the Apes,Action,130.0,7.6,79.0,PG-13,2014,,7.6899999999999995
Mad Max,Action,88.0,6.8,73.0,R,1979,,6.949999999999999
War for the Planet of the Apes,Action,140.0,7.4,82.0,PG-13,2017,,7.639999999999999
Ghostbusters: Frozen Empire,Adventure,115.0,6.2,46.0,PG-13,2024,,5.72
Thelma the Unicorn,Animation,93.0,5.8,64.0,PG,2024,,5.9799999999999995
The Garfield Movie,Animation,101.0,5.9,31.0,PG,2024,,5.06
Godzilla x Kong: The New Empire,Action,115.0,6.2,47.0,PG-13,2024,,5.75
Madame Web,Action,116.0,3.9,26.0,PG-13,2024,,3.51
Civil War,Action,109.0,7.4,75.0,R,2024,,7.43
Mad Max: Fury Road,Action,120.0,8.1,90.0,R,2015,,8.37
Atlas,Action,118.0,5.6,37.0,PG-13,2024,,5.029999999999999
Dune: Part Two,Action,166.0,8.6,79.0,PG-13,2024,,8.39
Kingdom of the Planet of the Apes,Action,145.0,7.2,66.0,PG-13,2024,,7.02
Furiosa: A Mad Max Saga,Action,148.0,7.9,79.0,R,2024,,7.9
WALL·E,Animation,98.0,8.4,95.0,G,2008,,8.73
Spider-Man: Beyond the Spider-Verse,Animation,116.3,7.1,66.9,R,2015,,6.977
Hercules,Animation,93.0,7.3,74.0,G,1997,,7.33
Sing,Animation,108.0,7.1,59.0,PG,2016,,6.74
Castle in the Sky,Animation,125.0,8.0,78.0,PG,1986,,7.9399999999999995
"Monsters, Inc.",Animation,92.0,8.1,79.0,G,2001,,8.04
Tangled,Animation,100.0,7.7,71.0,PG,2010,,7.52
Up,Animation,96.0,8.3,88.0,PG,2009,,8.450000000000001
Toy Story,Animation,81.0,8.3,96.0,G,1995,,8.690000000000001
Puss in Boots: The Last Wish,Animation,102.0,7.8,73.0,PG,2022,,7.65
Encanto,Animation,102.0,7.2,75.0,PG,2021,,7.29
Coco,Animation,105.0,8.4,81.0,PG,2017,,8.309999999999999
Frozen,Animation,102.0,7.4,75.0,PG,2013,,7.43
Mufasa: The Lion King,Animation,116.3,7.1,66.9,R,2024,,6.977
Howl's Moving Castle,Animation,119.0,8.2,82.0,PG,2004,,8.2
Zootopia,Animation,108.0,8.0,78.0,PG,2016,,7.9399999999999995
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,99.0,7.2,74.0,PG,2023,,7.26
Kung Fu Panda,Animation,92.0,7.6,74.0,PG,2008,,7.539999999999999
The Lion King,Animation,118.0,6.8,55.0,PG,2019,,6.41
Spider-Man: Into the Spider-Verse,Animation,117.0,8.4,87.0,PG,2018,,8.49
The Incredibles,Animation,115.0,8.0,90.0,PG,2004,,8.299999999999999
Mars Express,Animation,88.0,7.5,76.0,Not Rated,2023,,7.529999999999999
Shrek 2,Animation,93.0,7.3,75.0,PG,2004,,7.359999999999999
Your Name.,Animation,116.3,8.4,81.0,R,2016,,8.309999999999999
Elemental,Animation,101.0,7.0,58.0,PG,2023,,6.64
Ratatouille,Animation,111.0,8.1,96.0,G,2007,,8.549999999999999
Moana,Animation,107.0,7.6,81.0,PG,2016,,7.749999999999999
Harold and the Purple Crayon,Animation,92.0,7.1,66.9,PG,2024,,6.977
Finding Nemo,Animation,100.0,8.2,90.0,G,2003,,8.44
Sing 2,Animation,110.0,7.3,49.0,PG,2021,,6.579999999999999
Trolls Band Together,Animation,91.0,6.0,53.0,PG,2023,,5.789999999999999
Transformers One,Animation,116.3,7.1,66.9,R,2024,,6.977
The Boy and the Heron,Animation,124.0,7.6,91.0,PG-13,2023,,8.049999999999999
Cars,Animation,116.0,7.2,73.0,G,2006,,7.23
Shrek,Animation,90.0,7.9,84.0,PG,2001,,8.05
Spirited Away,Animation,125.0,8.6,96.0,PG,2001,,8.899999999999999
Moana 2,Animation,116.3,7.1,66.9,R,2024,,6.977
The Super Mario Bros. Movie,Animation,92.0,7.0,46.0,PG,2023,,6.279999999999999
The Lord of the Rings: The War of the Rohirrim,Animation,116.3,7.1,66.9,R,2024,,6.977
Despicable Me 4,Animation,95.0,7.1,66.9,PG,2024,,6.977
Migration,Animation,83.0,6.7,56.0,PG,2023,,6.369999999999999
Spider-Man: Across the Spider-Verse,Animation,140.0,8.6,86.0,PG,2023,,8.6
IF,Animation,104.0,6.7,46.0,PG,2024,,6.069999999999999
Taxi Driver,Crime,114.0,8.2,94.0,R,1976,,8.559999999999999
Kill Bill: Vol. 1,Action,111.0,8.2,69.0,R,2003,,7.809999999999999
We're the Millers,Comedy,110.0,7.0,44.0,R,2013,,6.22
The Green Mile,Crime,189.0,8.6,61.0,R,1999,,7.85
Animal,Action,204.0,6.2,33.0,Not Rated,2023,,5.33
Prisoners,Crime,153.0,8.2,70.0,R,2013,,7.84
12 Angry Men,Crime,96.0,9.0,97.0,Approved,1957,,9.209999999999999
Joker,Crime,122.0,8.4,59.0,R,2019,,7.65
Sicario,Action,121.0,7.7,82.0,R,2015,,7.85
Baby Driver,Action,113.0,7.5,86.0,R,2017,,7.83
The Crow,Action,102.0,7.5,71.0,R,1994,,7.38
Léon: The Professional,Action,110.0,8.5,64.0,R,1994,,7.869999999999999
In the Land of Saints and Sinners,Action,106.0,6.3,60.0,R,2023,,6.209999999999999
The Equalizer,Action,132.0,7.2,57.0,R,2014,,6.75
The Equalizer 3,Action,109.0,6.8,58.0,R,2023,,6.5
Wicked Little Letters,Comedy,100.0,7.0,58.0,R,2023,,6.64
Beverly Hills Cop,Action,105.0,7.4,66.0,R,1984,,7.159999999999999
The Silence of the Lambs,Crime,118.0,8.6,86.0,R,1991,,8.6
Heat,Action,170.0,8.3,76.0,R,1995,,8.09
No Country for Old Men,Crime,122.0,8.2,92.0,R,2007,,8.5
Se7en,Crime,127.0,8.6,65.0,R,1995,,7.97
John Wick: Chapter 4,Action,169.0,7.7,78.0,R,2023,,7.7299999999999995
The Talented Mr. Ripley,Crime,139.0,7.4,76.0,R,1999,,7.459999999999999
The Outsiders,Crime,91.0,7.0,45.0,PG,1983,,6.249999999999999
The Departed,Crime,151.0,8.5,85.0,R,2006,,8.5
Goodfellas,Biography,145.0,8.7,92.0,R,1990,,8.849999999999998
MaXXXine,Crime,103.0,7.1,66.9,R,2024,,6.977
The Wolf of Wall Street,Biography,180.0,8.2,75.0,R,2013,,7.989999999999999
The Batman,Action,176.0,7.8,72.0,PG-13,2022,,7.62
The Courier,Crime,116.3,6.0,66.9,R,2024,,6.206999999999999
The Dark Knight,Action,152.0,9.0,84.0,PG-13,2008,,8.82
Killers of the Flower Moon,Crime,206.0,7.6,89.0,R,2023,,7.989999999999999
Pulp Fiction,Crime,154.0,8.9,95.0,R,1994,,9.08
Force of Nature: The Dry 2,Crime,120.0,6.0,58.0,R,2024,,5.9399999999999995
Anatomy of a Fall,Crime,151.0,7.7,86.0,R,2023,,7.969999999999999
The Bikeriders,Crime,116.0,7.5,73.0,R,2023,,7.4399999999999995
The Godfather,Crime,175.0,9.2,100.0,R,1972,,9.44
